p_id,p_id2,distance_mean,distance_median,distance_std
H5N3,H2N7,1.33875,1.215,0.2891771732
H5N3,H2N1,1.29125,1.215,0.336950942275
H5N3,H2N2,1.3569,1.25,0.34337063066
H5N3,H2N3,1.5521875,1.615,0.364997725806
H5N3,H1N2,2.03124365482,2.07,0.298402219822
H5N3,H1N1,2.00187989556,2.02,0.337370404381
H5N3,H2N9,1.75,1.66,0.360485783354
H5N3,H9N2,1.93235,1.86,0.248575898872
H5N3,H9N1,2.015,1.905,0.263612720988
H5N3,H9N7,1.96,1.82,0.291290233273
H5N3,H9N6,1.9925,1.915,0.239204410494
H5N3,H9N5,1.9675,1.91,0.232365552524
H5N3,H9N9,1.905,1.87,0.0993730345718
H5N3,H7N2,2.55666666667,2.5,0.29752684286
H5N2,H5N1,1.62942523574,1.67,0.322492721765
H5N2,H10N8,2.45382352941,2.43,0.201640546604
H5N2,H7N9,2.55058823529,2.57,0.180015378044
H5N2,H7N8,2.33588235294,2.35,0.147770044864
H5N2,H7N4,2.58764705882,2.58,0.183544494101
H5N2,H7N7,2.52691176471,2.51,0.192791088952
H5N2,H10N3,2.49529411765,2.5,0.167652218703
H5N2,H7N1,2.63803921569,2.62,0.211326525602
H5N2,H7N3,2.70008403361,2.69,0.220528379234
H5N2,H10N7,2.41878151261,2.4,0.174196192863
H5N2,H2N5,1.62088235294,1.635,0.258961360359
H5N2,H2N7,1.225,1.165,0.198623942636
H5N2,H2N1,1.34823529412,1.365,0.235889687432
H5N2,H2N2,1.33362352941,1.3,0.256891919433
H5N2,H2N3,1.50544117647,1.58,0.293462763564
H5N2,H1N2,1.92968050164,1.94,0.290674691181
H5N2,H1N1,1.91618491783,1.9,0.327959449171
H5N2,H2N9,1.84352941176,1.84,0.205367423285
H5N2,H9N2,1.9118,1.88,0.195433593355
H5N2,H9N1,2.04352941176,2.01,0.220167703722
H5N2,H9N7,2.01705882353,2.05,0.208602202512
H5N2,H9N6,1.96470588235,1.95,0.163063237356
H5N2,H9N5,1.93294117647,1.915,0.158550964376
H5N2,H9N9,1.87058823529,1.9,0.122304854804
H5N2,H7N2,2.59098039216,2.61,0.213461250577
H5N1,H10N8,2.52893129771,2.51,0.215263913678
H5N1,H7N9,2.66053435115,2.64,0.198052784147
H5N1,H7N8,2.47244274809,2.48,0.174154847318
H5N1,H7N4,2.7127480916,2.7,0.197418660166
H5N1,H7N7,2.64695928753,2.62,0.222006615383
H5N1,H10N3,2.61709923664,2.6,0.187602342755
H5N1,H7N1,2.78603053435,2.78,0.226093090522
H5N1,H7N3,2.83209378408,2.82,0.242907865491
H5N1,H10N7,2.50651581243,2.47,0.21214724527
H5N1,H2N5,1.92652671756,2.03,0.43239277148
H5N1,H2N7,1.68017175573,1.735,0.296666223832
H5N1,H2N1,1.88511450382,1.92,0.359291853155
H5N1,H2N2,1.84363969466,1.88,0.382849187951
H5N1,H2N3,1.72321564885,1.78,0.419843963272
H5N1,H1N2,1.68820203821,1.65,0.249189671707
H5N1,H1N1,1.70897454806,1.66,0.336842286209
H5N1,H2N9,2.35992366412,2.45,0.345581700514
H5N1,H9N2,2.21293282443,2.18,0.273114678383
H5N1,H9N1,2.34394402036,2.3,0.300819012516
H5N1,H9N7,2.36687022901,2.37,0.264780144921
H5N1,H9N6,2.32076335878,2.34,0.248481244229
H5N1,H9N5,2.27427480916,2.275,0.250317448939
H5N1,H9N9,2.09961832061,2.09,0.189186303347
H5N1,H7N2,2.73178117048,2.72,0.251718536929
H10N8,H7N9,1.515,1.515,0.095
H10N8,H7N8,1.295,1.295,0.115
H10N8,H7N4,1.18,1.18,0.15
H10N8,H7N7,1.38208333333,1.31,0.276857050459
H10N8,H10N3,1.095,1.095,0.065
H10N8,H7N1,1.57833333333,1.465,0.351540261642
H10N8,H7N3,1.71178571429,1.75,0.314904220942
H10N8,H10N7,1.0975,1.06,0.217200121678
H10N8,H2N5,2.42125,2.42,0.234063960276
H10N8,H2N7,2.38125,2.41,0.155919650782
H10N8,H2N1,2.37,2.37,0.107935165725
H10N8,H2N2,2.3306,2.36,0.176061466539
H10N8,H2N3,2.496875,2.45,0.178525864723
H10N8,H1N2,2.60931472081,2.59,0.217619300233
H10N8,H1N1,2.67973890339,2.66,0.253221921939
H10N8,H2N9,2.42,2.42,0.06
H10N8,H9N2,2.4565,2.49,0.218780140781
H10N8,H9N1,2.49833333333,2.555,0.189597526941
H10N8,H9N7,2.47,2.47,0.1
H10N8,H9N6,2.445,2.445,0.165
H10N8,H9N5,2.5475,2.51,0.169022927439
H10N8,H9N9,2.44,2.44,0.29
H10N8,H7N2,1.67833333333,1.65,0.286613367138
H7N9,H7N8,1.06,1.06,0.0
H7N9,H7N4,1.1,1.1,0.0
H7N9,H7N7,1.18916666667,1.215,0.275936536584
